"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Struck by thrown, projected or falling object"	"W20"	701	279040168	0.3
	"1999"	"1999"	"Striking against or struck by sports equipment"	"W21"	10	279040168	Unreliable
	"1999"	"1999"	"Striking against or struck by other objects"	"W22"	131	279040168	0.0
	"1999"	"1999"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	93	279040168	0.0
	"1999"	"1999"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	117	279040168	0.0
	"1999"	"1999"	"Contact with sharp glass"	"W25"	30	279040168	0.0
	"1999"	"1999"	"Contact with knife, sword or dagger"	"W26"	3	279040168	Unreliable
	"1999"	"1999"	"Contact with nonpowered hand tool"	"W27"	6	279040168	Unreliable
	"1999"	"1999"	"Contact with powered lawnmower"	"W28"	23	279040168	0.0
	"1999"	"1999"	"Contact with other powered hand tools and household machinery"	"W29"	6	279040168	Unreliable
	"1999"	"1999"	"Contact with agricultural machinery"	"W30"	198	279040168	0.1
	"1999"	"1999"	"Contact with other and unspecified machinery"	"W31"	307	279040168	0.1
	"1999"	"1999"	"Explosion and rupture of boiler"	"W35"	6	279040168	Unreliable
	"1999"	"1999"	"Explosion and rupture of gas cylinder"	"W36"	6	279040168	Unreliable
	"1999"	"1999"	"Explosion and rupture of pressurized tyre, pipe or hose"	"W37"	14	279040168	Unreliable
	"1999"	"1999"	"Explosion and rupture of other specified pressurized devices"	"W38"	7	279040168	Unreliable
	"1999"	"1999"	"Discharge of firework"	"W39"	7	279040168	Unreliable
	"1999"	"1999"	"Explosion of other materials"	"W40"	166	279040168	0.1
	"1999"	"1999"	"Exposure to high-pressure jet"	"W41"	3	279040168	Unreliable
	"1999"	"1999"	"Foreign body entering into or through eye or natural orifice"	"W44"	32	279040168	0.0
	"1999"	"1999"	"Foreign body or object entering through skin"	"W45"	6	279040168	Unreliable
	"1999"	"1999"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	43	279040168	0.0
	"1999"	"1999"	"Hit, struck, kicked, twisted, bitten or scratched by another person"	"W50"	35	279040168	0.0
	"1999"	"1999"	"Striking against or bumped into by another person"	"W51"	17	279040168	Unreliable
	"1999"	"1999"	"Bitten by rat"	"W53"	1	279040168	Unreliable
	"1999"	"1999"	"Bitten or struck by dog"	"W54"	25	279040168	0.0
	"1999"	"1999"	"Bitten or struck by other mammals"	"W55"	68	279040168	0.0
	"1999"	"1999"	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"	"W57"	10	279040168	Unreliable
	"1999"	"1999"	"Bitten or crushed by other reptiles"	"W59"	45	279040168	0.0
	"1999"	"1999"	"Exposure to other and unspecified animate mechanical forces"	"W64"	13	279040168	Unreliable
	"1999"	"1999"	"Accidental suffocation and strangulation in bed"	"W75"	330	279040168	0.1
	"1999"	"1999"	"Other accidental hanging and strangulation"	"W76"	307	279040168	0.1
	"1999"	"1999"	"Threat to breathing due to cave-in, falling earth and other substances"	"W77"	47	279040168	0.0
	"1999"	"1999"	"Inhalation of gastric contents"	"W78"	417	279040168	0.1
	"1999"	"1999"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	640	279040168	0.2
	"1999"	"1999"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	2828	279040168	1.0
	"1999"	"1999"	"Confined to or trapped in a low-oxygen environment"	"W81"	16	279040168	Unreliable
	"1999"	"1999"	"Other specified threats to breathing"	"W83"	154	279040168	0.1
	"1999"	"1999"	"Unspecified threat to breathing"	"W84"	764	279040168	0.3
	"1999"	"1999"	"Exposure to electric transmission lines"	"W85"	127	279040168	0.0
	"1999"	"1999"	"Exposure to other specified electric current"	"W86"	147	279040168	0.1
	"1999"	"1999"	"Exposure to unspecified electric current"	"W87"	163	279040168	0.1
	"1999"	"1999"	"Exposure to excessive heat of man-made origin"	"W92"	15	279040168	Unreliable
	"1999"	"1999"	"Exposure to excessive cold of man-made origin"	"W93"	3	279040168	Unreliable
	"1999"	"1999"	"Exposure to high and low air pressure and changes in air pressure"	"W94"	22	279040168	0.0
	"1999"	"1999"	"Exposure to other and unspecified man-made environmental factors"	"W99"	2	279040168	Unreliable
	"1999"	"1999"	"Contact with hot drinks, food, fats and cooking oils"	"X10"	5	279040168	Unreliable
	"1999"	"1999"	"Contact with hot tap-water"	"X11"	51	279040168	0.0
	"1999"	"1999"	"Contact with other hot fluids"	"X12"	15	279040168	Unreliable
	"1999"	"1999"	"Contact with steam and hot vapours"	"X13"	5	279040168	Unreliable
	"1999"	"1999"	"Contact with hot air and gases"	"X14"	2	279040168	Unreliable
	"1999"	"1999"	"Contact with hot household appliances"	"X15"	11	279040168	Unreliable
	"1999"	"1999"	"Contact with hot heating appliances, radiators and pipes"	"X16"	17	279040168	Unreliable
	"1999"	"1999"	"Contact with hot engines, machinery and tools"	"X17"	2	279040168	Unreliable
	"1999"	"1999"	"Contact with other hot metals"	"X18"	6	279040168	Unreliable
	"1999"	"1999"	"Contact with other and unspecified heat and hot substances"	"X19"	9	279040168	Unreliable
	"1999"	"1999"	"Contact with venomous snakes and lizards"	"X20"	7	279040168	Unreliable
	"1999"	"1999"	"Contact with venomous spiders"	"X21"	6	279040168	Unreliable
	"1999"	"1999"	"Contact with hornets, wasps and bees"	"X23"	43	279040168	0.0
	"1999"	"1999"	"Contact with centipedes and venomous millipedes (tropical)"	"X24"	1	279040168	Unreliable
	"1999"	"1999"	"Contact with other specified venomous arthropods"	"X25"	2	279040168	Unreliable
	"1999"	"1999"	"Contact with unspecified venomous animal or plant"	"X29"	2	279040168	Unreliable
	"1999"	"1999"	"Exposure to excessive natural heat"	"X30"	594	279040168	0.2
	"1999"	"1999"	"Exposure to excessive natural cold"	"X31"	598	279040168	0.2
	"1999"	"1999"	"Exposure to sunlight"	"X32"	3	279040168	Unreliable
	"1999"	"1999"	"Victim of lightning"	"X33"	64	279040168	0.0
	"1999"	"1999"	"Victim of earthquake"	"X34"	2	279040168	Unreliable
	"1999"	"1999"	"Victim of avalanche, landslide and other earth movements"	"X36"	44	279040168	0.0
	"1999"	"1999"	"Victim of cataclysmic storm"	"X37"	129	279040168	0.0
	"1999"	"1999"	"Victim of flood"	"X38"	15	279040168	Unreliable
	"1999"	"1999"	"Exposure to other and unspecified forces of nature"	"X39"	39	279040168	0.0
	"1999"	"1999"	"Overexertion and strenuous or repetitive movements"	"X50"	21	279040168	0.0
	"1999"	"1999"	"Lack of food"	"X53"	137	279040168	0.0
	"1999"	"1999"	"Lack of water"	"X54"	1	279040168	Unreliable
	"1999"	"1999"	"Unspecified privation"	"X57"	32	279040168	0.0
	"1999"	"1999"	"Exposure to other specified factors"	"X58"	77	279040168	0.0
	"1999"	"1999"	"Exposure to unspecified factor"	"X59"	7459	279040168	2.7
	"1999"	"1999"	"Sequelae of other accidents"	"Y86"	878	279040168	0.3
"Total"	"1999"	"1999"			18388	279040168	6.6
	"2000"	"2000"	"Struck by thrown, projected or falling object"	"W20"	712	281421906	0.3
	"2000"	"2000"	"Striking against or struck by sports equipment"	"W21"	19	281421906	Unreliable
	"2000"	"2000"	"Striking against or struck by other objects"	"W22"	146	281421906	0.1
	"2000"	"2000"	"Caught, crushed, jammed or pinched in or between objects"	"W23"	84	281421906	0.0
	"2000"	"2000"	"Contact with lifting and transmission devices, not elsewhere classified"	"W24"	97	281421906	0.0
	"2000"	"2000"	"Contact with sharp glass"	"W25"	20	281421906	0.0
	"2000"	"2000"	"Contact with knife, sword or dagger"	"W26"	9	281421906	Unreliable
	"2000"	"2000"	"Contact with nonpowered hand tool"	"W27"	10	281421906	Unreliable
	"2000"	"2000"	"Contact with powered lawnmower"	"W28"	27	281421906	0.0
	"2000"	"2000"	"Contact with other powered hand tools and household machinery"	"W29"	14	281421906	Unreliable
	"2000"	"2000"	"Contact with agricultural machinery"	"W30"	245	281421906	0.1
	"2000"	"2000"	"Contact with other and unspecified machinery"	"W31"	334	281421906	0.1
	"2000"	"2000"	"Explosion and rupture of boiler"	"W35"	3	281421906	Unreliable
	"2000"	"2000"	"Explosion and rupture of gas cylinder"	"W36"	8	281421906	Unreliable
	"2000"	"2000"	"Explosion and rupture of pressurized tyre, pipe or hose"	"W37"	12	281421906	Unreliable
	"2000"	"2000"	"Explosion and rupture of other specified pressurized devices"	"W38"	7	281421906	Unreliable
	"2000"	"2000"	"Discharge of firework"	"W39"	5	281421906	Unreliable
	"2000"	"2000"	"Explosion of other materials"	"W40"	167	281421906	0.1
	"2000"	"2000"	"Exposure to noise"	"W42"	1	281421906	Unreliable
	"2000"	"2000"	"Foreign body entering into or through eye or natural orifice"	"W44"	31	281421906	0.0
	"2000"	"2000"	"Foreign body or object entering through skin"	"W45"	5	281421906	Unreliable
	"2000"	"2000"	"Exposure to other and unspecified inanimate mechanical forces"	"W49"	36	281421906	0.0
	"2000"	"2000"	"Hit, struck, kicked, twisted, bitten or scratched by another person"	"W50"	35	281421906	0.0
	"2000"	"2000"	"Striking against or bumped into by another person"	"W51"	26	281421906	0.0
	"2000"	"2000"	"Bitten or struck by dog"	"W54"	26	281421906	0.0
	"2000"	"2000"	"Bitten or struck by other mammals"	"W55"	65	281421906	0.0
	"2000"	"2000"	"Contact with marine animal"	"W56"	2	281421906	Unreliable
	"2000"	"2000"	"Bitten or stung by nonvenomous insect and other nonvenomous arthropods"	"W57"	9	281421906	Unreliable
	"2000"	"2000"	"Bitten or crushed by other reptiles"	"W59"	31	281421906	0.0
	"2000"	"2000"	"Contact with plant thorns and spines and sharp leaves"	"W60"	1	281421906	Unreliable
	"2000"	"2000"	"Exposure to other and unspecified animate mechanical forces"	"W64"	9	281421906	Unreliable
	"2000"	"2000"	"Accidental suffocation and strangulation in bed"	"W75"	327	281421906	0.1
	"2000"	"2000"	"Other accidental hanging and strangulation"	"W76"	333	281421906	0.1
	"2000"	"2000"	"Threat to breathing due to cave-in, falling earth and other substances"	"W77"	64	281421906	0.0
	"2000"	"2000"	"Inhalation of gastric contents"	"W78"	382	281421906	0.1
	"2000"	"2000"	"Inhalation and ingestion of food causing obstruction of respiratory tract"	"W79"	744	281421906	0.3
	"2000"	"2000"	"Inhalation and ingestion of other objects causing obstruction of respiratory tract"	"W80"	3187	281421906	1.1
	"2000"	"2000"	"Confined to or trapped in a low-oxygen environment"	"W81"	15	281421906	Unreliable
	"2000"	"2000"	"Other specified threats to breathing"	"W83"	195	281421906	0.1
	"2000"	"2000"	"Unspecified threat to breathing"	"W84"	401	281421906	0.1
	"2000"	"2000"	"Exposure to electric transmission lines"	"W85"	99	281421906	0.0
	"2000"	"2000"	"Exposure to other specified electric current"	"W86"	137	281421906	0.0
	"2000"	"2000"	"Exposure to unspecified electric current"	"W87"	159	281421906	0.1
	"2000"	"2000"	"Exposure to excessive heat of man-made origin"	"W92"	10	281421906	Unreliable
	"2000"	"2000"	"Exposure to excessive cold of man-made origin"	"W93"	2	281421906	Unreliable
	"2000"	"2000"	"Exposure to high and low air pressure and changes in air pressure"	"W94"	12	281421906	Unreliable
